               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.067984,            0.023349,            0.039424,             0.38949,             0.48282,             0.42303,             0.18778,             0.03223,           0.0064977,            0.024582,            0.070098,           0.0033225,           0.0033225
                   1,             0.04949,            0.016679,            0.022676,             0.54163,             0.59032,             0.54901,             0.28611,             0.03188,           0.0058752,             0.01793,            0.040032,           0.0065899,           0.0065899
                   2,            0.046603,            0.016111,            0.017936,             0.51787,             0.44216,             0.48558,             0.26177,            0.029956,           0.0074769,            0.019677,           0.0098999,           0.0097914,           0.0097914
                   3,            0.045684,             0.01788,            0.020346,             0.64484,             0.42813,              0.4849,             0.27601,            0.029005,           0.0072531,            0.019217,            0.009703,            0.009703,            0.009703
                   4,            0.041966,            0.016739,            0.016284,             0.63936,             0.56159,             0.62379,             0.35057,            0.028108,           0.0064766,            0.016688,            0.009703,            0.009703,            0.009703
                   5,            0.041136,             0.01664,             0.01734,             0.60124,             0.56878,             0.62455,             0.37996,            0.025139,            0.006502,             0.01496,            0.009604,            0.009604,            0.009604
                   6,            0.040381,            0.016688,            0.014784,             0.66243,              0.5654,             0.66073,             0.39833,            0.024569,           0.0066801,            0.011694,            0.009505,            0.009505,            0.009505
                   7,            0.038434,              0.0158,             0.01409,             0.79153,              0.7395,             0.81723,             0.52766,            0.022268,           0.0052725,           0.0075422,            0.009406,            0.009406,            0.009406
                   8,            0.037248,            0.015534,            0.012128,             0.74885,             0.75253,             0.78937,             0.52219,            0.021844,           0.0055482,           0.0080159,            0.009307,            0.009307,            0.009307
                   9,            0.036367,             0.01485,             0.01151,             0.79057,             0.71228,             0.77131,             0.51204,            0.021577,           0.0054454,            0.009514,            0.009208,            0.009208,            0.009208
                  10,             0.03607,            0.015008,            0.010797,             0.78128,             0.68595,             0.77114,             0.51098,            0.020866,           0.0057555,            0.010039,            0.009109,            0.009109,            0.009109
                  11,            0.034052,            0.014775,            0.011787,             0.73376,             0.75299,             0.78737,             0.54542,            0.020592,           0.0054202,           0.0076641,             0.00901,             0.00901,             0.00901
                  12,            0.033579,            0.014945,            0.011893,             0.70105,             0.59212,             0.68666,             0.44465,             0.02386,           0.0062646,            0.011697,            0.008911,            0.008911,            0.008911
                  13,            0.032223,            0.014095,           0.0092159,             0.84824,             0.80816,             0.85526,             0.59157,            0.019537,           0.0049338,             0.01015,            0.008812,            0.008812,            0.008812
                  14,            0.031394,             0.01412,           0.0079027,              0.8408,             0.76601,             0.83133,             0.58304,            0.019764,           0.0053616,           0.0051985,            0.008713,            0.008713,            0.008713
                  15,            0.031591,            0.013676,           0.0093793,             0.84509,             0.74431,             0.83516,             0.57546,             0.01808,           0.0050936,            0.013773,            0.008614,            0.008614,            0.008614
                  16,            0.031361,            0.013913,            0.008487,             0.84517,             0.78141,             0.84454,             0.58029,            0.019392,           0.0051266,           0.0074116,            0.008515,            0.008515,            0.008515
                  17,             0.03026,            0.013567,           0.0076264,             0.83655,             0.80514,             0.85503,             0.60702,            0.018843,           0.0049307,             0.01228,            0.008416,            0.008416,            0.008416
                  18,            0.030376,            0.013424,           0.0070628,             0.84572,             0.78111,             0.84462,             0.59248,            0.020031,           0.0050103,           0.0089657,            0.008317,            0.008317,            0.008317
                  19,            0.031602,            0.013468,           0.0078638,             0.86583,             0.79829,             0.85726,             0.59692,            0.019521,           0.0050975,           0.0092487,            0.008218,            0.008218,            0.008218
                  20,            0.031594,            0.013353,           0.0073659,             0.87009,              0.8283,             0.88049,             0.63441,            0.017866,           0.0047173,           0.0080756,            0.008119,            0.008119,            0.008119
                  21,            0.029944,            0.012976,           0.0062867,              0.8728,             0.84506,             0.88215,             0.65179,            0.017735,           0.0045385,           0.0060592,             0.00802,             0.00802,             0.00802
                  22,            0.029289,            0.013169,           0.0071255,             0.88266,             0.81602,             0.87672,             0.64837,            0.018272,           0.0046382,           0.0070564,            0.007921,            0.007921,            0.007921
                  23,            0.028621,             0.01298,           0.0061048,             0.90355,             0.79356,             0.86302,             0.63762,            0.017508,           0.0045381,           0.0085225,            0.007822,            0.007822,            0.007822
                  24,            0.028379,            0.012745,            0.006017,             0.82302,             0.80808,             0.85846,             0.61574,            0.018128,            0.004787,            0.011556,            0.007723,            0.007723,            0.007723
                  25,            0.028292,            0.012885,           0.0057258,             0.85074,             0.81922,             0.88089,             0.66137,             0.01671,           0.0044349,           0.0096777,            0.007624,            0.007624,            0.007624
                  26,             0.02819,            0.013017,            0.006795,             0.88555,             0.83299,             0.88785,             0.65095,            0.017937,           0.0045473,           0.0080372,            0.007525,            0.007525,            0.007525
                  27,            0.028164,            0.012604,           0.0063548,             0.85632,             0.84777,             0.87965,             0.64749,             0.01745,           0.0047228,           0.0074272,            0.007426,            0.007426,            0.007426
                  28,            0.028147,            0.012754,           0.0058476,             0.90028,              0.7621,             0.87337,             0.60936,            0.018394,           0.0048142,           0.0056411,            0.007327,            0.007327,            0.007327
                  29,            0.027059,            0.012775,           0.0060699,             0.89246,             0.84315,             0.88683,             0.65819,            0.016702,           0.0044022,           0.0071496,            0.007228,            0.007228,            0.007228
                  30,            0.026407,            0.012138,           0.0041054,             0.90644,             0.84133,             0.89504,             0.66798,             0.01654,           0.0043644,           0.0080659,            0.007129,            0.007129,            0.007129
                  31,            0.026297,            0.011988,           0.0055213,             0.91087,             0.82543,             0.88659,             0.66539,            0.015839,           0.0043445,           0.0065572,             0.00703,             0.00703,             0.00703
                  32,            0.025387,            0.011835,           0.0048545,             0.89483,             0.83321,             0.90204,             0.68471,            0.015938,           0.0043518,           0.0053988,            0.006931,            0.006931,            0.006931
                  33,            0.026907,            0.012161,           0.0051801,             0.90669,             0.87074,             0.90708,             0.66651,            0.016472,           0.0042205,           0.0082479,            0.006832,            0.006832,            0.006832
                  34,            0.026212,            0.011832,           0.0049044,             0.86809,             0.84456,              0.8733,             0.67002,             0.01699,            0.004443,           0.0071811,            0.006733,            0.006733,            0.006733
                  35,            0.027054,            0.012057,           0.0045172,             0.86414,              0.8481,             0.88659,             0.66242,            0.016501,           0.0043522,           0.0076035,            0.006634,            0.006634,            0.006634
                  36,            0.026459,            0.011945,           0.0050898,             0.87244,             0.85137,             0.88654,             0.66873,            0.016264,           0.0044801,           0.0065152,            0.006535,            0.006535,            0.006535
